┌────────────┬───────────────────────┐
│    date    │ seven_days_moving_avg │
│    date    │        double         │
├────────────┼───────────────────────┤
│ 2014-04-29 │                0.8629 │
│ 2014-04-30 │                0.7429 │
│ 2014-05-01 │                0.7457 │
│ 2014-05-02 │                0.7457 │
│ 2014-05-03 │                0.7414 │
│ 2014-05-04 │                0.0314 │
│ 2014-05-05 │                0.0729 │
│ 2014-05-06 │                0.0786 │
│ 2014-05-07 │                  0.12 │
│ 2014-05-08 │                0.1214 │
│ 2014-05-09 │                0.1214 │
│ 2014-05-10 │                0.1214 │
│ 2014-05-11 │                0.1229 │
│ 2014-05-12 │                0.0857 │
│ 2014-05-13 │                   0.3 │
│ 2014-05-14 │                0.2471 │
│ 2014-05-15 │                0.2429 │
│ 2014-05-16 │                0.2429 │
│ 2014-05-17 │                0.2429 │
│ 2014-05-18 │                0.2414 │
│ 2014-05-19 │                0.2543 │
│ 2014-05-20 │                0.1643 │
│ 2014-05-21 │                0.2214 │
│ 2014-05-22 │                0.2214 │
│ 2014-05-23 │                0.2214 │
│ 2014-05-24 │                0.2214 │
│ 2014-05-25 │                0.2214 │
│ 2014-05-26 │                0.1871 │
│ 2014-05-27 │                0.0571 │
│ 2014-05-28 │                0.0071 │
│ 2014-05-29 │                0.0071 │
│ 2014-05-30 │                0.0071 │
│ 2014-05-31 │                0.0243 │
│ 2014-06-01 │                0.0243 │
│ 2014-06-02 │                0.1486 │
│ 2014-06-03 │                0.1486 │
│ 2014-06-04 │                0.1414 │
│ 2014-06-05 │                0.1414 │
│ 2014-06-06 │                  0.37 │
│ 2014-06-07 │                0.3529 │
│ 2014-06-08 │                0.3557 │
│ 2014-06-09 │                0.2414 │
│ 2014-06-10 │                0.4243 │
│ 2014-06-11 │                0.4243 │
│ 2014-06-12 │                0.4243 │
│ 2014-06-13 │                0.1957 │
│ 2014-06-14 │                0.1957 │
│ 2014-06-15 │                0.1929 │
│ 2014-06-16 │                0.2043 │
│ 2014-06-17 │                0.0214 │
│ 2014-06-18 │                0.0214 │
│ 2014-06-19 │                0.0214 │
│ 2014-06-20 │                0.0214 │
│ 2014-06-21 │                0.0214 │
│ 2014-06-22 │                0.0329 │
│ 2014-06-23 │                0.0214 │
│ 2014-06-24 │                0.0214 │
│ 2014-06-25 │                0.0214 │
│ 2014-06-26 │                0.0214 │
│ 2014-06-27 │                0.0214 │
│ 2014-06-28 │                0.0214 │
│ 2014-06-29 │                0.1471 │
│ 2014-06-30 │                0.3914 │
│ 2014-07-01 │                0.4114 │
│ 2014-07-02 │                0.4114 │
│ 2014-07-03 │                0.4114 │
│ 2014-07-04 │                0.4171 │
│ 2014-07-05 │                0.4729 │
│ 2014-07-06 │                0.3486 │
│ 2014-07-07 │                0.0943 │
│ 2014-07-08 │                0.0743 │
│ 2014-07-09 │                0.0743 │
│ 2014-07-10 │                0.0786 │
│ 2014-07-11 │                0.1386 │
│ 2014-07-12 │                0.2686 │
│ 2014-07-13 │                0.2557 │
│ 2014-07-14 │                0.2557 │
│ 2014-07-15 │                0.2557 │
│ 2014-07-16 │                0.2557 │
│ 2014-07-17 │                0.2514 │
│ 2014-07-18 │                0.1857 │
│ 2014-07-19 │                   0.0 │
│ 2014-07-20 │                0.0271 │
│ 2014-07-21 │                0.0271 │
│ 2014-07-22 │                0.0271 │
│ 2014-07-23 │                0.0271 │
│ 2014-07-24 │                  0.03 │
│ 2014-07-25 │                0.0571 │
│ 2014-07-26 │                0.0571 │
│ 2014-07-27 │                  0.03 │
│ 2014-07-28 │                  0.03 │
│ 2014-07-29 │                  0.03 │
│ 2014-07-30 │                0.0886 │
│ 2014-07-31 │                0.0957 │
│ 2014-08-01 │                0.0686 │
│ 2014-08-02 │                0.0686 │
│ 2014-08-03 │                0.0686 │
│ 2014-08-04 │                0.0686 │
│ 2014-08-05 │                0.0686 │
│ 2014-08-06 │                  0.01 │
│ 2014-08-07 │                   0.0 │
│ 2014-08-08 │                   0.0 │
│ 2014-08-09 │                0.0271 │
│ 2014-08-10 │                0.1029 │
│ 2014-08-11 │                0.1029 │
│ 2014-08-12 │                0.1029 │
│ 2014-08-13 │                0.1029 │
│ 2014-08-14 │                0.1043 │
│ 2014-08-15 │                0.1043 │
│ 2014-08-16 │                0.0771 │
│ 2014-08-17 │                0.0014 │
│ 2014-08-18 │                0.0514 │
│ 2014-08-19 │                  0.06 │
│ 2014-08-20 │                0.0614 │
│ 2014-08-21 │                  0.06 │
│ 2014-08-22 │                  0.06 │
│ 2014-08-23 │                  0.06 │
│ 2014-08-24 │                  0.06 │
│ 2014-08-25 │                  0.01 │
│ 2014-08-26 │                0.0014 │
│ 2014-08-27 │                   0.0 │
│ 2014-08-28 │                0.0886 │
│ 2014-08-29 │                0.0886 │
│ 2014-08-30 │                0.0886 │
│ 2014-08-31 │                0.0886 │
│ 2014-09-01 │                0.0886 │
│ 2014-09-02 │                0.0886 │
│ 2014-09-03 │                0.1043 │
│ 2014-09-04 │                0.0157 │
│ 2014-09-05 │                0.0157 │
│ 2014-09-06 │                0.0157 │
│ 2014-09-07 │                0.0157 │
│ 2014-09-08 │                0.0157 │
│ 2014-09-09 │                0.0157 │
│ 2014-09-10 │                0.0371 │
│ 2014-09-11 │                0.0371 │
│ 2014-09-12 │                0.0371 │
│ 2014-09-13 │                  0.09 │
│ 2014-09-14 │                  0.09 │
│ 2014-09-15 │                  0.09 │
│ 2014-09-16 │                  0.09 │
│ 2014-09-17 │                0.0529 │
│ 2014-09-18 │                0.0743 │
│ 2014-09-19 │                0.0743 │
│ 2014-09-20 │                0.0214 │
│ 2014-09-21 │                0.0214 │
│ 2014-09-22 │                0.0671 │
│ 2014-09-23 │                0.0671 │
│ 2014-09-24 │                0.0671 │
│ 2014-09-25 │                0.0457 │
│ 2014-09-26 │                0.0457 │
│ 2014-09-27 │                0.0457 │
│ 2014-09-28 │                0.0486 │
│ 2014-09-29 │                0.0029 │
│ 2014-09-30 │                0.0029 │
│ 2014-10-01 │                0.1714 │
│ 2014-10-02 │                0.1714 │
│ 2014-10-03 │                0.1714 │
│ 2014-10-04 │                  0.18 │
│ 2014-10-05 │                0.1829 │
│ 2014-10-06 │                0.1829 │
│ 2014-10-07 │                0.1829 │
│ 2014-10-08 │                0.0614 │
│ 2014-10-09 │                0.0614 │
│ 2014-10-10 │                0.0686 │
│ 2014-10-11 │                  0.06 │
│ 2014-10-12 │                0.1529 │
│ 2014-10-13 │                0.3114 │
│ 2014-10-14 │                0.3114 │
│ 2014-10-15 │                0.2643 │
│ 2014-10-16 │                0.2643 │
│ 2014-10-17 │                0.2571 │
│ 2014-10-18 │                0.2729 │
│ 2014-10-19 │                  0.39 │
│ 2014-10-20 │                0.3186 │
│ 2014-10-21 │                0.3186 │
│ 2014-10-22 │                  0.32 │
│ 2014-10-23 │                  0.32 │
│ 2014-10-24 │                  0.32 │
│ 2014-10-25 │                0.3043 │
│ 2014-10-26 │                0.0886 │
│ 2014-10-27 │                0.0014 │
│ 2014-10-28 │                0.0086 │
│ 2014-10-29 │                0.0571 │
│ 2014-10-30 │                0.0571 │
│ 2014-10-31 │                0.0571 │
│ 2014-11-01 │                0.0571 │
│ 2014-11-02 │                0.0571 │
│ 2014-11-03 │                  0.11 │
│ 2014-11-04 │                0.1029 │
│ 2014-11-05 │                0.0529 │
│ 2014-11-06 │                0.0529 │
│ 2014-11-07 │                0.0529 │
│ 2014-11-08 │                0.0529 │
│ 2014-11-09 │                0.0529 │
│ 2014-11-10 │                0.0286 │
│ 2014-11-11 │                0.0371 │
│ 2014-11-12 │                0.0371 │
│ 2014-11-13 │                0.0414 │
│ 2014-11-14 │                0.2614 │
│ 2014-11-15 │                0.2614 │
│ 2014-11-16 │                0.2614 │
│ 2014-11-17 │                0.2329 │
│ 2014-11-18 │                0.2243 │
│ 2014-11-19 │                0.2243 │
│ 2014-11-20 │                  0.22 │
│ 2014-11-21 │                   0.1 │
│ 2014-11-22 │                   0.1 │
│ 2014-11-23 │                0.2771 │
│ 2014-11-24 │                  0.28 │
│ 2014-11-25 │                  0.28 │
│ 2014-11-26 │                  0.28 │
│ 2014-11-27 │                  0.28 │
│ 2014-11-28 │                0.1929 │
│ 2014-11-29 │                0.2043 │
│ 2014-11-30 │                0.0357 │
│ 2014-12-01 │                0.0329 │
│ 2014-12-02 │                0.1057 │
│ 2014-12-03 │                  0.28 │
│ 2014-12-04 │                0.2857 │
│ 2014-12-05 │                0.2729 │
│ 2014-12-06 │                0.6243 │
│ 2014-12-07 │                0.6271 │
│ 2014-12-08 │                0.6286 │
│ 2014-12-09 │                0.5557 │
│ 2014-12-10 │                0.3814 │
│ 2014-12-11 │                0.3757 │
│ 2014-12-12 │                0.3757 │
│ 2014-12-13 │                0.0414 │
│ 2014-12-14 │                0.0329 │
│ 2014-12-15 │                0.0314 │
│ 2014-12-16 │                0.0314 │
│ 2014-12-17 │                0.0314 │
│ 2014-12-18 │                0.0314 │
│ 2014-12-19 │                0.0371 │
│ 2014-12-20 │                0.0314 │
│ 2014-12-21 │                0.1429 │
│ 2014-12-22 │                0.1557 │
│ 2014-12-23 │                0.1557 │
│ 2014-12-24 │                0.1557 │
│ 2014-12-25 │                  0.17 │
│ 2014-12-26 │                0.1643 │
│ 2014-12-27 │                0.1414 │
│ 2014-12-28 │                0.0271 │
│ 2014-12-29 │                0.0143 │
│ 2014-12-30 │                0.0143 │
│ 2014-12-31 │                0.1157 │
│ 2015-01-01 │                0.1443 │
│ 2015-01-02 │                0.1443 │
│ 2015-01-03 │                0.1514 │
│ 2015-01-04 │                0.1514 │
│ 2015-01-05 │                0.1514 │
│ 2015-01-06 │                0.1614 │
│ 2015-01-07 │                  0.06 │
│ 2015-01-08 │                0.0171 │
│ 2015-01-09 │                0.0686 │
│ 2015-01-10 │                0.0614 │
│ 2015-01-11 │                0.0614 │
│ 2015-01-12 │                0.0614 │
│ 2015-01-13 │                0.0514 │
│ 2015-01-14 │                0.0514 │
│ 2015-01-15 │                0.3514 │
│ 2015-01-16 │                   0.3 │
│ 2015-01-17 │                   0.3 │
│ 2015-01-18 │                   0.3 │
│ 2015-01-19 │                   0.3 │
│ 2015-01-20 │                   0.3 │
│ 2015-01-21 │                0.4029 │
│ 2015-01-22 │                0.1029 │
│ 2015-01-23 │                0.1714 │
│ 2015-01-24 │                0.2229 │
│ 2015-01-25 │                0.2229 │
│ 2015-01-26 │                0.2257 │
│ 2015-01-27 │                0.2343 │
│ 2015-01-28 │                0.1314 │
│ 2015-01-29 │                0.1357 │
│ 2015-01-30 │                0.2129 │
│ 2015-01-31 │                0.1614 │
│ 2015-02-01 │                0.1614 │
│ 2015-02-02 │                0.1586 │
│ 2015-02-03 │                  0.15 │
│ 2015-02-04 │                0.1529 │
│ 2015-02-05 │                0.1486 │
│ 2015-02-06 │                0.0157 │
│ 2015-02-07 │                0.0171 │
│ 2015-02-08 │                0.0171 │
│ 2015-02-09 │                0.0171 │
│ 2015-02-10 │                0.0171 │
│ 2015-02-11 │                0.0171 │
│ 2015-02-12 │                0.0171 │
│ 2015-02-13 │                0.0043 │
│ 2015-02-14 │                0.0229 │
│ 2015-02-15 │                0.0229 │
│ 2015-02-16 │                0.0229 │
│ 2015-02-17 │                0.0229 │
│ 2015-02-18 │                0.1071 │
│ 2015-02-19 │                0.1214 │
│ 2015-02-20 │                0.1214 │
│ 2015-02-21 │                0.1014 │
│ 2015-02-22 │                0.1014 │
│ 2015-02-23 │                0.1014 │
│ 2015-02-24 │                0.1014 │
│ 2015-02-25 │                0.0143 │
│ 2015-02-26 │                0.0743 │
│ 2015-02-27 │                0.0743 │
│ 2015-02-28 │                  0.17 │
│ 2015-03-01 │                0.2057 │
│ 2015-03-02 │                0.3143 │
│ 2015-03-03 │                0.3143 │
│ 2015-03-04 │                0.3143 │
│ 2015-03-05 │                  0.24 │
│ 2015-03-06 │                0.2414 │
│ 2015-03-07 │                0.2114 │
│ 2015-03-08 │                0.1771 │
│ 2015-03-09 │                0.0686 │
│ 2015-03-10 │                0.0686 │
│ 2015-03-11 │                0.1843 │
│ 2015-03-12 │                0.1843 │
│ 2015-03-13 │                0.1829 │
│ 2015-03-14 │                  0.12 │
│ 2015-03-15 │                0.1186 │
│ 2015-03-16 │                0.1186 │
│ 2015-03-17 │                0.1757 │
│ 2015-03-18 │                  0.06 │
│ 2015-03-19 │                  0.06 │
│ 2015-03-20 │                  0.06 │
│ 2015-03-21 │                0.0571 │
│ 2015-03-22 │                0.0643 │
│ 2015-03-23 │                  0.11 │
│ 2015-03-24 │                0.0914 │
│ 2015-03-25 │                0.0914 │
│ 2015-03-26 │                0.0914 │
│ 2015-03-27 │                0.0914 │
│ 2015-03-28 │                0.1157 │
│ 2015-03-29 │                0.1086 │
│ 2015-03-30 │                0.0629 │
│ 2015-03-31 │                  0.03 │
│ 2015-04-01 │                0.0314 │
│ 2015-04-02 │                0.0314 │
│ 2015-04-03 │                0.0314 │
│ 2015-04-04 │                0.0286 │
│ 2015-04-05 │                0.0286 │
│ 2015-04-06 │                0.0286 │
│ 2015-04-07 │                0.0471 │
│ 2015-04-08 │                0.0457 │
│ 2015-04-09 │                0.0457 │
│ 2015-04-10 │                0.0457 │
│ 2015-04-11 │                0.0257 │
│ 2015-04-12 │                0.0257 │
│ 2015-04-13 │                0.0257 │
│ 2015-04-14 │                0.0129 │
│ 2015-04-15 │                0.0129 │
│ 2015-04-16 │                0.0129 │
│ 2015-04-17 │                0.2086 │
│ 2015-04-18 │                0.2357 │
│ 2015-04-19 │                0.2429 │
│ 2015-04-20 │                0.2429 │
│ 2015-04-21 │                0.2314 │
│ 2015-04-22 │                0.2314 │
│ 2015-04-23 │                0.2314 │
│ 2015-04-24 │                0.0357 │
│ 2015-04-25 │                0.0071 │
│ 2015-04-26 │                   0.0 │
│ 2015-04-27 │                   0.0 │
│ 2015-04-28 │                   0.0 │
│ 2015-04-29 │                   0.0 │
│ 2015-04-30 │                   0.0 │
│ 2015-05-01 │                   0.0 │
│ 2015-05-02 │                   0.0 │
│ 2015-05-03 │                   0.0 │
│ 2015-05-04 │                   0.0 │
│ 2015-05-05 │                   0.0 │
│ 2015-05-06 │                   0.0 │
│ 2015-05-07 │                   0.0 │
│ 2015-05-08 │                   0.0 │
│ 2015-05-09 │                   0.0 │
│ 2015-05-10 │                   0.0 │
│ 2015-05-11 │                   0.0 │
│ 2015-05-12 │                   0.0 │
│ 2015-05-13 │                0.0429 │
│ 2015-05-14 │                0.0457 │
│ 2015-05-15 │                0.0457 │
│ 2015-05-16 │                0.0457 │
│ 2015-05-17 │                0.0457 │
│ 2015-05-18 │                0.0457 │
│ 2015-05-19 │                0.0457 │
│ 2015-05-20 │                0.0029 │
│ 2015-05-21 │                   0.0 │
│ 2015-05-22 │                   0.0 │
│ 2015-05-23 │                   0.0 │
│ 2015-05-24 │                0.0114 │
│ 2015-05-25 │                0.0114 │
│ 2015-05-26 │                0.0114 │
│ 2015-05-27 │                0.0114 │
│ 2015-05-28 │                  0.22 │
│ 2015-05-29 │                0.3229 │
│ 2015-05-30 │                0.3757 │
│ 2015-05-31 │                0.3643 │
│ 2015-06-01 │                0.3643 │
│ 2015-06-02 │                0.3829 │
│ 2015-06-03 │                  0.41 │
│ 2015-06-04 │                0.2014 │
│ 2015-06-05 │                0.1071 │
│ 2015-06-06 │                0.0557 │
│ 2015-06-07 │                0.0557 │
│ 2015-06-08 │                0.0557 │
│ 2015-06-09 │                0.0371 │
│ 2015-06-10 │                  0.01 │
│ 2015-06-11 │                0.0614 │
│ 2015-06-12 │                0.1343 │
│ 2015-06-13 │                0.1714 │
│ 2015-06-14 │                0.1714 │
│ 2015-06-15 │                0.1714 │
│ 2015-06-16 │                0.1714 │
│ 2015-06-17 │                0.1714 │
│ 2015-06-18 │                0.2114 │
│ 2015-06-19 │                  0.13 │
│ 2015-06-20 │                0.0943 │
│ 2015-06-21 │                0.0943 │
│ 2015-06-22 │                0.0943 │
│ 2015-06-23 │                0.0943 │
│ 2015-06-24 │                0.2543 │
│ 2015-06-25 │                0.2043 │
│ 2015-06-26 │                0.2043 │
│ 2015-06-27 │                0.2071 │
